text,true_label,pred_prob,pred_label,pred_cat
"#COVID-19 | More than 100,300 people have been infected globally by #coronavirus, according to a Reuters tally based on statements from health ministries and government officials. Click the link below for live updates. http://bit.ly/38vzfLh ",1,93.50728,1.0,真新闻
"Most Asian shares fell on Tuesday a day after Wall Street's historic market rout, with fleeting initial gains evaporating as the #coronavirus remained a major risk to economic growth.
#COVID2019 #COVID #CoronavirusOutbreak #stockmarkets https://www.indiatoday.in/business/story/coronavirus-scare-asian-stocks-fall-after-historic-wall-street-rout-1656254-2020-03-17 ",1,0.0712684,1.0,真新闻
Sobering COVID-19 study prompted Britain to toughen its approach  https://uk.reuters.com/article/us-health-coronavirus-britain-research-idUKKBN2141EP?taid=5e70a7eef629ab00016ac0dc&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/ubVdUvUVok,1,96.31941,1.0,真新闻
Sobering COVID-19 study prompted Britain to toughen its approach  https://uk.reuters.com/article/uk-health-coronavirus-britain-research-idUKKBN2141EI?taid=5e70ee4472e8fa00012c02ed&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/SSyIL5AVCf,1,98.66861,1.0,真新闻
Sobering COVID-19 study prompted Britain to toughen its approach  https://uk.reuters.com/article/uk-health-coronavirus-britain-research-idUKKBN2141EI?taid=5e70af23f629ab00016ac0fe&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/1y1aDWzp2U,1,98.66861,1.0,真新闻
Beware second waves of COVID-19 if lockdowns eased early: study  https://uk.reuters.com/article/us-health-coronavirus-wuhan-secondwave-idUKKBN21D1M9?taid=5e7d0531ef5fb40001469dea&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/SBlnCtzl22,1,99.18744,1.0,真新闻
"Canada to stop people with COVID-19 symptoms boarding domestic flights, trains  https://uk.reuters.com/article/us-health-coronavirus-canada-idUKKBN21F0RF?taid=5e802598ef5fb4000146ab1d&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/GG0IMhebMt",1,89.55693,1.0,真新闻
"Over Rs 600 crore deposited in bank accounts of 27.15 lakh UP workers
 https://www.ndtv.com/india-news/over-rs-600-crore-deposited-in-bank-accounts-of-27-15-lakh-uttar-pradesh-workers-2203276 
#CoronavirusLockdown #Covid_19 pic.twitter.com/hnor7eAoHx",1,1.0395257,1.0,真新闻
Disney's Netflix rival doubles subscriptions in Covid-19 lockdown  https://www.theguardian.com/media/2020/apr/09/disney-netflix-rival-doubles-subscriptions-in-virus-lockdown?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1586497555 ,1,0.12773326,1.0,真新闻
"UK faces 'extremely large' hit from COVID-19, BoE's Tenreyro warns  https://uk.reuters.com/article/us-health-coronavirus-boe-tenreyro-idUKKCN21Y25W?taid=5e98a7c45a107f0001b4b54c&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/Db1ieHb7aR",1,99.29341,1.0,真新闻
"Europe COVID-19 cases almost at one million, coming weeks 'critical' - WHO  https://uk.reuters.com/article/uk-health-coronavirus-who-europe-idUKKCN21Y18P?taid=5e987b575a107f0001b4b495&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/1f3mqBqIKu",1,78.19402,1.0,真新闻
UK scientists to make a million potential COVID-19 vaccines before proof  https://uk.reuters.com/article/us-health-coronavirus-vaccine-oxford-idUKKBN21Z25M?taid=5e9a0c20f87ad20001649e33&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/hdUAwJKrwD,1,97.42731,1.0,真新闻
Gilead surges after report suggests COVID-19 patients responding to remdesivir  https://uk.reuters.com/article/us-health-coronavirus-gilead-sciences-idUKKBN21Y3GV?taid=5e99160dbea27e00015ded46&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/kMZYssILCL,1,98.97829,1.0,真新闻
USADA adapts in COVID-19 era with self-administered doping tests  https://uk.reuters.com/article/uk-health-coronavirus-doping-usada-idUKKBN21Z05M?taid=5e99403cbea27e00015dede0&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/kNNlRhZ6E7,1,99.38339,1.0,真新闻
"Britain expands COVID-19 testing programme, still more to do - health minister  https://uk.reuters.com/article/uk-health-coronavirus-britain-testing-idUKKBN21Z1FF?taid=5e99a2a75a107f0001b4b9a0&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/L1L17IYMIY",1,99.890015,1.0,真新闻
Deaths from COVID-19 in UK care homes is higher than 2% - health minister  https://uk.reuters.com/article/uk-health-coronavirus-britain-carehomes-idUKKBN21Z1AQ?taid=5e99949f5a107f0001b4b961&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/f9ZWbo2SXE,1,26.373577,1.0,真新闻
"BoE's Bailey orders banks to ""put their backs into it"" on COVID-19 loans  https://uk.reuters.com/article/uk-health-coronavirus-boe-bailey-idUKKBN21Z27Q?taid=5e99fde35a107f0001b4bb39&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/PWHgAfIfeX",1,75.58027,1.0,真新闻
Singapore reports 942 new COVID-19 cases in record daily jump  https://uk.reuters.com/article/us-health-coronavirus-singapore-idUKKBN2200B7?taid=5e9ad1015a107f0001b4be9d&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/na1e7MLBxH,1,80.70746,1.0,真新闻
"WHO unsure antibodies protect against COVID, little sign of herd immunity  https://uk.reuters.com/article/us-health-coronavirus-immunity-idUKKBN21Z2XM?taid=5e9a7b9ff87ad20001649fad&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/f9mAmfQHmp",1,90.30578,1.0,真新闻
Gilead increases enrollment target for remdesivir trial in COVID-19 patients  https://uk.reuters.com/article/us-gilead-sciences-stocks-idUKKBN21Z25V?taid=5e9a8f515a107f0001b4bda8&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/gR4fYJrbvX,1,98.61008,1.0,真新闻
UK tells doctors to treat COVID-19 patients without full-length gowns due to shortage - report  https://uk.reuters.com/article/uk-health-coronavirus-britain-gowns-advi-idUKKBN21Z2W0?taid=5e9a446fbea27e00015df169&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/9eJvhjBP5v,1,16.78889,1.0,真新闻
"UK reports 596 COVID-19 deaths as total tops 16,000  https://uk.reuters.com/article/us-health-coronavirus-britain-fatalities-idUKKBN2210LD?taid=5e9c722e5a107f0001b4c310&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/Ph3q2eejA2",1,87.456604,1.0,真新闻
"Novartis, U.S. regulators agree to malaria drug trial against COVID-19  https://uk.reuters.com/article/uk-novartis-coronavirus-test-idUKKBN2220E8?taid=5e9d52435a107f0001b4c5d4&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/JReiTYaA2O",1,99.905136,1.0,真新闻
Prince Philip breaks retirement silence to thank those fighting COVID-19  https://uk.reuters.com/article/uk-health-coronavirus-britain-philip-idUKKBN2221B8?taid=5e9dd676bea27e00015dfb1f&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/6JFsjghuMM,1,99.85078,1.0,真新闻
Prince Philip breaks retirement silence to thank those fighting COVID-19  https://uk.reuters.com/article/uk-health-coronavirus-britain-philip-idUKKBN2221B8?taid=5e9d971b5a107f0001b4c6af&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/9VUv8wyv7M,1,99.85078,1.0,真新闻
"England's COVID-19 hospital death toll rises 429 to 14,829, lowest rise in two weeks  https://uk.reuters.com/article/uk-health-coronavirus-britain-casualties-idUKKBN2221RI?taid=5e9dba4d5a107f0001b4c72a&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/Aak1O2VvBo",1,69.55504,1.0,真新闻
COVID-19 death toll in England 41% higher than early data suggested: ONS  https://uk.reuters.com/article/us-health-coronavirus-britain-casualties-idUKKBN22310M?taid=5e9ed395f87ad20001162243&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/fFZ0W4AZbq,1,95.562935,1.0,真新闻
COVID hospitalisations starting to decline in London but not rest of UK  https://uk.reuters.com/article/uk-health-coronavirus-britain-london-idUKKCN2232LC?taid=5e9f3cf5f87ad200011623f9&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/QIX7pYGFjr,1,98.58983,1.0,真新闻
"England's COVID-19 hospital death toll rises 778 to 15,607  https://uk.reuters.com/article/uk-health-coronavirus-britain-casualties-idUKKCN2231WQ?taid=5e9f0c675a107f0001b4cc24&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/On7hAnqPKl",1,99.6804,1.0,真新闻
"UK's COVID-19 death toll is far higher than daily figure, data suggests  https://uk.reuters.com/article/uk-health-coronavirus-britain-casualties-idUKKBN223103?taid=5e9f4b36bea27e00015e004e&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/jYskQyiBVr",1,91.461205,1.0,真新闻
COVID-19 death toll in England 41% higher than early data suggested: ONS  https://uk.reuters.com/article/uk-health-coronavirus-britain-casualties-idUKKBN223103?taid=5e9f0a9d5a107f0001b4cc15&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/scYoRekRVC,1,97.89315,1.0,真新闻
"Alarmed as COVID patients' blood thickened, New York doctors try new treatments  https://uk.reuters.com/article/us-health-coronavirus-usa-blood-idUKKCN22421Z?taid=5ea0b18fe3c40700015e957e&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/e2EaMBiG6A",1,99.65699,1.0,真新闻
"Alarmed as COVID patients' blood thickened, New York doctors try new treatments  https://uk.reuters.com/article/us-health-coronavirus-usa-blood-idUKKCN22421Z?taid=5ea07239e1538500012a60c9&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/VYi7EfQIqJ",1,99.65699,1.0,真新闻
Pastor helps keep Singapore's migrant workers fed during COVID-19 lockdown  https://uk.reuters.com/article/us-health-coronavirus-singapore-migrants-idUKKCN22505D?taid=5ea11d22e3c40700015e970e&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/n7HH3rYJOc,1,90.212265,1.0,真新闻
Exclusive: France first - Paris ignores EU calls to lift export bans on COVID-19 drugs  https://uk.reuters.com/article/us-health-coronavirus-eu-drug-exclusive-idUKKCN2252HN?taid=5ea1d432e3c40700015e99d5&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/8U3IFYTfW5,1,3.496584,1.0,真新闻
UK to test prevalence of COVID-19 in general population  https://uk.reuters.com/article/us-health-coronavirus-britain-tests-idUKKCN2243IZ?taid=5ea11567e3c40700015e96f7&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/VYDyHZejRD,1,70.84839,1.0,真新闻
"UK COVID-19 hospital death toll rises to 18,738  https://uk.reuters.com/article/us-health-coronavirus-britain-deaths-idUKKCN2252EQ?taid=5ea1bf1de1ba14000127faa7&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/113GkOJV5G",1,52.572422,1.0,真新闻
AstraZeneca pilots diabetes drug as potential COVID-19 treatment  https://uk.reuters.com/article/us-health-coronavirus-astrazeneca-idUKKCN2250PU?taid=5ea1b81ae1ba14000127fa8b&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/pA78f5CkgX,1,95.40246,1.0,真新闻
AstraZeneca tests diabetes drug as possible COVID-19 treatment  https://uk.reuters.com/article/uk-health-coronavirus-astrazeneca-idUKKCN2250UV?taid=5ea17d72e1ba14000127f9ab&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/9eIcgUCUG1,1,93.58212,1.0,真新闻
"World leaders launch plan to speed COVID-19 drugs, vaccine; U.S. stays away  https://uk.reuters.com/article/us-health-coronavirus-who-idUKKCN2261M7?taid=5ea354a4e15385000193777b&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/PetOKNp4N6",1,99.35877,1.0,真新闻
COVID-19 takes unequal toll on immigrants in Nordic region  https://uk.reuters.com/article/uk-health-coronavirus-norway-immigrants-idUKKCN2260Y2?taid=5ea2c0e9e15385000193755b&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/GwWUYaPGAl,1,95.804535,1.0,真新闻
UK retailers suffer record sales plunge on COVID-19 hit  https://uk.reuters.com/article/uk-health-coronavirus-britain-retail-idUKKCN2260NA?taid=5ea29897e3c40700015e9ce4&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/SEM5fq26PL,1,71.885704,1.0,真新闻
"Johnson, on the mend after COVID-19, faces lockdown conundrum  https://uk.reuters.com/article/uk-health-coronavirus-britain-idUKKCN2260PA?taid=5ea2dd27e3c40700015e9dee&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/n3Cu4ZbhB3",1,93.21968,1.0,真新闻
Australian PM says will be illegal for non-health officials to get data from COVID-19 app  https://uk.reuters.com/article/uk-health-coronavirus-australia-software-idUKKCN2260DW?taid=5ea28cbfe3c40700015e9cb1&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/nFFWUgyXMa,1,65.257034,1.0,真新闻
"Two Chinese pharma companies, which supplied 5.5 lakh rapid testing kits for Covid-19 to India, said they are ready to cooperate with Indian agencies looking into allegations of poor accuracy of their products.
#CoronavirusOutbreak https://www.indiatoday.in/india/story/chinese-rapid-test-kit-suppliers-statements-coronavirus-1670896-2020-04-25 ",1,1.2041894,1.0,真新闻
"""No evidence"" that recovered COVID-19 patients cannot be reinfected: WHO  https://uk.reuters.com/article/us-health-coronavirus-who-idUKKCN2270FB?taid=5ea49f0be153850001937bb9&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/a7mOGuzvHE",1,87.127075,1.0,真新闻
"""No evidence"" that recovered COVID-19 patients cannot be reinfected: WHO  https://uk.reuters.com/article/us-health-coronavirus-who-idUKKCN2270FB?taid=5ea435b3e153850001937a67&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/zou0dKNM9l",1,87.127075,1.0,真新闻
Coronavirus and COVID-19: Fact versus fiction  https://uk.reuters.com/article/us-health-coronavirus-fiction-idUKKCN22635N?taid=5ea3d772e3c40700015ea248&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/QrXgcnwT8R,1,38.110054,1.0,真新闻
No evidence' that recovered COVID-19 patients cannot be reinfected - WHO  https://uk.reuters.com/article/uk-health-coronavirus-who-idUKKCN2270FD?taid=5ea45685e1ba1400012804db&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/14545xrhA6,1,98.76846,1.0,真新闻
"World leaders launch plan to speed COVID-19 drugs, vaccine; U.S. stays away  https://uk.reuters.com/article/uk-health-coronavirus-who-idUKKCN2261MU?taid=5ea385f1e1ba1400012801f4&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/b1mlS0Rf8j",1,99.685875,1.0,真新闻
Italy's DiaSorin gets U.S. FDA approval for COVID-19 antibody test  https://uk.reuters.com/article/uk-health-coronavirus-testing-diasorin-idUKKCN2270NV?taid=5ea489dde3c40700015ea4bf&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/nzbvfwThXV,1,99.78975,1.0,真新闻
Singapore races to build beds for COVID-19 patients as cases surge  https://uk.reuters.com/article/us-health-coronavirus-singapore-temp-hos-idUKKCN22805B?taid=5ea52542e1ba1400012807b2&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/ZF1Z1zro3X,1,97.321495,1.0,真新闻
Health Canada cautions on use of malaria drugs to treat COVID-19  https://uk.reuters.com/article/us-health-coronavirus-health-canada-hydr-idUKKCN22804F?taid=5ea51cf2e1ba14000128079b&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/ESceeMLZIM,1,99.42531,1.0,真新闻
Australia launches controversial COVID-19 tracking app as some states start easing rules  https://uk.reuters.com/article/us-health-coronavirus-australia-idUKKCN22806F?taid=5ea53c0de1ba1400012807e1&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/UzByFr1PPO,1,98.57879,1.0,真新闻
"UK hospital COVID-19 death toll rises by 413 to 20,732  https://uk.reuters.com/article/uk-health-coronavirus-britain-toll-idUKKCN2280LK?taid=5ea5cb10e3c40700015ea886&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/YXOcwuB1kS",1,98.73913,1.0,真新闻
Johnson back at Downing Street after COVID-19 recovery - Sky News  https://uk.reuters.com/article/uk-health-coronavirus-britain-johnson-idUKKCN2280PD?taid=5ea5e29de1ba1400012809b2&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/kSmCvYxol3,1,95.64772,1.0,真新闻
Mothering with a mask: Belgian with COVID-19 gives birth to healthy baby  https://uk.reuters.com/article/uk-health-coronavirus-belgium-newborn-idUKKCN2270Q8?taid=5ea5ac9de3c40700015ea828&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/NUqGyf7kUh,1,86.057556,1.0,真新闻
Australia launches controversial COVID-19 tracking app as some states start easing rules  https://uk.reuters.com/article/uk-health-coronavirus-australia-idUKKCN22806J?taid=5ea539c4e153850001937d61&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/r6ggdozWU5,1,99.298004,1.0,真新闻
"Reuters recently reported a COVID-19 hack from Vietnam, where an entrepreneur generously dispenses free rice to those who need it through a 'Rice ATM'.
#COVID19 #Lockdown https://trib.al/MEk7rJ3 ",1,99.98714,1.0,真新闻
"Some countries prise open COVID-19 lockdowns, but UK says not yet  https://uk.reuters.com/article/uk-health-coronavirus-idUKKCN2291DM?taid=5ea6dfb9e153850001938199&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/EXXMM5EKCt",1,97.808426,1.0,真新闻
French scientists to test theory that nicotine combats COVID-19  https://uk.reuters.com/article/uk-health-coronavirus-france-nicotine-idUKKCN2292OE?taid=5ea74236e1ba140001280ea6&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/T7jGCGWtyz,1,86.94141,1.0,真新闻
EU's COVID recovery spending should be guided by green finance plan - experts  https://uk.reuters.com/article/uk-health-coronavirus-eu-recovery-green-idUKKCN2280SP?taid=5ea67736e1ba140001280bc7&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/D4XyGTOw16,1,98.82615,1.0,真新闻
"UK hospital COVID-19 death toll rises 360 to 21,092  https://uk.reuters.com/article/uk-health-coronavirus-britain-toll-idUKKCN2292D5?taid=5ea72868e1ba140001280e32&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/bod79bzoYe",1,99.21673,1.0,真新闻
UK PM Johnson says it's too soon to relax COVID lockdown  https://uk.reuters.com/article/uk-health-coronavirus-britain-johnson-te-idUKKCN22910Y?taid=5ea6edcbe1ba140001280d24&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/G3OiYit5bq,1,96.499245,1.0,真新闻
"China lab rejects COVID-19 conspiracy claims, but virus origins still a mystery  https://uk.reuters.com/article/us-health-coronavirus-china-lab-idUKKCN22A0MM?taid=5ea7d984e1ba140001281130&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/XoUa2FOSQN",1,98.36895,1.0,真新闻
UK on track to become one of Europe's worst hit in COVID-19 pandemic  https://uk.reuters.com/article/us-health-coronavirus-britain-death-idUKKCN22A17I?taid=5ea81c0ae1ba140001281204&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/lhIldpHHj2,1,18.749666,1.0,真新闻
UK says some children have died from syndrome linked to COVID-19  https://uk.reuters.com/article/us-health-coronavirus-britain-children-idUKKCN22A0XW?taid=5ea7f1d7e3c40700015eafd7&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/fyYnZhcvAZ,1,61.617954,1.0,真新闻
Contact tracing app for COVID-19 could be rolled out in 2-3 weeks - developer  https://uk.reuters.com/article/uk-health-coronavirus-britain-app-idUKKCN22A1H3?taid=5ea8450ce3c40700015eb119&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/zBkCBoFeWt,1,7.399217,1.0,真新闻
Samsung's phone fortunes wane as COVID-19 hits 5G phones in Europe and U.S.  https://uk.reuters.com/article/us-samsung-results-smartphones-idUKKBN22B1S3?taid=5ea9c5ae06bb9b0001402d03&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/8hS2bkz0es,1,30.240732,1.0,真新闻
Gilead says remdesivir shows improvement in COVID-19 patients when used early  https://uk.reuters.com/article/us-health-coronavirus-gilead-remdesivir-idUKKBN22B1T9?taid=5ea99e47d9c55b000118182a&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/9dZljD88z4,1,67.33637,1.0,真新闻
